id,list_price,uom_id/id,categ_id/id,name,sale_ok,company_id/id,uom_po_id,type,purchase_ok,active
50,1.00,1,1,Art. 9º Tabela Geral-Ligação domiciliaria esgoto,TRUE,1,1,product,FALSE,TRUE
51,1.00,1,1,Art. 8º Tabela Geral - Ligação colectores,TRUE,1,1,product,FALSE,TRUE
52,1.00,1,1,Art. 8º Tabela Geral - Ligação colectores,TRUE,1,1,product,FALSE,TRUE
53,1.00,1,1,Art. 8º Tabela Geral - Ligação colectores,TRUE,1,1,product,FALSE,TRUE
54,1.00,1,1,Art 10º Tabela Geral - Tar.Conserv.Utiliz.Esg.Empr,TRUE,1,1,product,FALSE,TRUE
55,1.00,1,1,Art 10º Tabela Geral-Tar.Conserv.Utiliz.Esg.Partic,TRUE,1,1,product,FALSE,TRUE
56,1.00,1,1,Nº 5 Art. 10º Tabela Geral -Limpeza fossa/colector,TRUE,1,1,product,FALSE,TRUE
57,1.00,1,1,Nº 6 Art. 10º Tabela Geral -Descarga de água-ETAR,TRUE,1,1,product,FALSE,TRUE
58,1.00,1,1,Nº1 Art 11º Tabela Geral-Inumação em Covais,TRUE,1,1,product,FALSE,TRUE
59,1.00,1,1,Nº1 Art 11º Tabela Geral-Inuma,TRUE,1,1,product,FALSE,TRUE
60,1.00,1,1,Nº1 Art 11º Tabela Geral-Inuma,TRUE,1,1,product,FALSE,TRUE
61,1.00,1,1,Nº1 Art 11º Tabela Geral-Inuma,TRUE,1,1,product,FALSE,TRUE
62,1.00,1,1,a) N 2 Art 11º Tabela-Inumação Corpos em capela,TRUE,1,1,product,FALSE,TRUE
63,1.00,1,1,nº2 art.11º Tabela-Inumação jazigos,TRUE,1,1,product,FALSE,TRUE
64,1.00,1,1,nº2 art.11º Tabela-Inumação jazigos,TRUE,1,1,product,FALSE,TRUE
65,1.00,1,1,nº2 art.11º Tabela-Inumação jazigos,TRUE,1,1,product,FALSE,TRUE
66,1.00,1,1,b) nº2 art.11º Tabela Geral-Inumação jazigos,TRUE,1,1,product,FALSE,TRUE
67,1.00,1,1,Nº 2 Art 11º Tabela Geral-Inumação jazigo particul,TRUE,1,1,product,FALSE,TRUE
68,1.00,1,1,Nº 2 Art 11º Tabela Geral-Inumação jazigo particul,TRUE,1,1,product,FALSE,TRUE
69,1.00,1,1,Nº 2 Art 11º Tabela Geral-Inumação jazigo particul,TRUE,1,1,product,FALSE,TRUE
70,1.00,1,1,Nº 2 Art 11º Tabela Geral-Inumação jazigo particul,TRUE,1,1,product,FALSE,TRUE
71,1.00,1,1,d) Nº 2 Art 11º Tabela Geral-Inumação jazigos,TRUE,1,1,product,FALSE,TRUE
72,1.00,1,1,Nº 3 Art 11ºTabela Geral-Inumação jazigo municipal,TRUE,1,1,product,FALSE,TRUE
73,1.00,1,1,Nº 3 Art 11ºTabela Geral-Inumação jazigo municipal,TRUE,1,1,product,FALSE,TRUE
74,1.00,1,1,Nº 3 Art 11ºTabela Geral-Inumação jazigo municipal,TRUE,1,1,product,FALSE,TRUE
75,1.00,1,1,Nº 3 Art 11ºTabela Geral-Inumação jazigo municipal,TRUE,1,1,product,FALSE,TRUE
76,1.00,1,1,Nº 3 Art 11ºTabela Geral-Inumação jazigo municipal,TRUE,1,1,product,FALSE,TRUE
77,1.00,1,1,Nº 3 Art 11ºTabela Geral-Inumação jazigo municipal,TRUE,1,1,product,FALSE,TRUE
78,1.00,1,1,Nº 3 Art 11ºTabela Geral-Inumação jazigo municipal,TRUE,1,1,product,FALSE,TRUE
79,1.00,1,1,Nº 3 Art 11ºTabela Geral-Inumação jazigo municipal,TRUE,1,1,product,FALSE,TRUE
80,1.00,1,1,Art. 12º Tabela Geral- Ocupação de ossários,TRUE,1,1,product,FALSE,TRUE
81,1.00,1,1,Art. 12º Tabela Geral- Ocupação de ossários,TRUE,1,1,product,FALSE,TRUE
82,1.00,1,1,Art. 12º Tabela Geral- Ocupação de ossários,TRUE,1,1,product,FALSE,TRUE
83,1.00,1,1,Art. 12º Tabela Geral- Ocupação de ossários,TRUE,1,1,product,FALSE,TRUE
84,1.00,1,1,nº2 Art. 12º Tabela Geral- Ossada 2º ano,TRUE,1,1,product,FALSE,TRUE
85,1.00,1,1,Art. 12º Tabela Geral- Ocupação de ossários,TRUE,1,1,product,FALSE,TRUE
86,1.00,1,1,Art. 12º Tabela Geral- Ocupação de ossários,TRUE,1,1,product,FALSE,TRUE
87,1.00,1,1,Art. 12º Tabela Geral- Ocupação de ossários,TRUE,1,1,product,FALSE,TRUE
88,1.00,1,1,Art. 12º Tabela Geral- Ocupação de ossários,TRUE,1,1,product,FALSE,TRUE
89,1.00,1,1,nº1 Art. 13º Tabela Geral- Exumação p/ossada,TRUE,1,1,product,FALSE,TRUE
90,1.00,1,1,Art. 13º Tabela Geral- Exumação p/ossada,TRUE,1,1,product,FALSE,TRUE
91,1.00,1,1,Art. 13º Tabela Geral- Exumação p/ossada,TRUE,1,1,product,FALSE,TRUE
92,1.00,1,1,Art. 13º Tabela Geral- Exumação p/ossada,TRUE,1,1,product,FALSE,TRUE
93,1.00,1,1,nº2 Art. 13º Tabela Geral- Exumação p/ossada,TRUE,1,1,product,FALSE,TRUE
94,1.00,1,1,Art. 14º Tabela Geral- Concessão terreno p/jazigo,TRUE,1,1,product,FALSE,TRUE
95,1.00,1,1,Art. 14º Tabela Geral- Concessão terreno p/jazigo,TRUE,1,1,product,FALSE,TRUE
96,1.00,1,1,Art. 14º Tabela Geral- Concessão terreno p/jazigo,TRUE,1,1,product,FALSE,TRUE
97,1.00,1,1,Art. 14º Tabela Geral- Concessão terreno p/jazigo,TRUE,1,1,product,FALSE,TRUE
98,1.00,1,1,Nº1 Art. 15º Tabela Geral - Utilização Capela,TRUE,1,1,product,FALSE,TRUE
99,1.00,1,1,Nº1 Art. 15º Tabela Geral - Utilização Capela,TRUE,1,1,product,FALSE,TRUE
100,1.00,1,1,Nº1 Art. 15º Tabela Geral - Utilização Capela,TRUE,1,1,product,FALSE,TRUE
101,1.00,1,1,Nº1 Art. 15º Tabela Geral - Utilização Capela,TRUE,1,1,product,FALSE,TRUE
102,1.00,1,1,Nº2 Art. 15º Tabela Geral - Utilização Capela,TRUE,1,1,product,FALSE,TRUE
103,1.00,1,1,Nº2 Art. 15º Tabela Geral - Utilização Capela,TRUE,1,1,product,FALSE,TRUE
104,1.00,1,1,Nº2 Art. 15º Tabela Geral - Utilização Capela,TRUE,1,1,product,FALSE,TRUE
