"id","default_code","name_template","active","valuation","product_tmpl_id/id"
7383,"EL05021002","ABRACADEIRA 906","TRUE","real_time",7383
7384,"EL05021003","ABRACADEIRA 907","TRUE","real_time",7384
7385,"EL05021004","ABRACADEIRA ESPIGA 16 mm","TRUE","real_time",7385
7386,"EL05021005","ABRACADEIRA ESPIGA 20 mm","TRUE","real_time",7386
7387,"EL05021006","ABRACADEIRA ESPIGA 25 mm","TRUE","real_time",7387
7388,"EL05021007","ABRACADEIRA ESPIGA 32 mm","TRUE","real_time",7388
7389,"EL05021008","ABRACADEIRA ESPIGA 40 mm","TRUE","real_time",7389
7390,"EL05021009","ABRACADEIRA ESPIGA 50 mm","TRUE","real_time",7390
7391,"EL05021010","PILHA UNIVERSAL MEDIA","TRUE","real_time",7391
7392,"EL05030001","PILHA UNIVERSAL GRANDE","TRUE","real_time",7392
7393,"EL05030002","PILHA RECARREGAVEL PEQUENA 1,2","TRUE","real_time",7393
7394,"EL05040001","PILHA UNIVERSAL QUADRADA 9V","TRUE","real_time",7394
7395,"EL05040002","PILHA UNIVERSAL QUADRADA 4,5V","TRUE","real_time",7395
7396,"EL05040003","PILHA UNIVERSAL QUADRADA","TRUE","real_time",7396
7397,"EL99000000","LIVROS","TRUE","real_time",7397
7398,"IA00010001","EQUIPAMENTO ADMINISTRATIVO","TRUE","real_time",7398
7399,"IB00010001","EQUIPAMENTO BASICO","TRUE","real_time",7399
7400,"IF00010001","EQUIPAMENTO FERRAMENTAS E UTENSILIOS","TRUE","real_time",7400
7401,"IO00010001","IMOBILIZADO OUTROS","TRUE","real_time",7401
7402,"IT00010001","EQUIPAMENTO TRANSPORTE","TRUE","real_time",7402
7403,"LC01010101","PAPELEIRA PLASTICO VERDE 50 l DIM","TRUE","real_time",7403
7404,"LC01010102","PAPELEIRA PLASTICO VERDE AZEITONA 50 l DIM","TRUE","real_time",7404
7405,"LC01010103","PAPELEIRA PLASTICO VERDE 50 l DIMOVA SPLASH","TRUE","real_time",7405
7406,"LC01010104","PAPELEIRA MOD SPLASH","TRUE","real_time",7406
7407,"LC02010101","PILHEIRA VERMELHA 30L","TRUE","real_time",7407
7408,"LC02010102","PILHEIRA PLASTICO VERMELHA 50 l","TRUE","real_time",7408
7409,"LC02010201","PILHEIRA PLASTICO AMARELA 50 l","TRUE","real_time",7409
7410,"LC03010101","EMBALAO PLASTICO AMARELO 50 l","TRUE","real_time",7410
7411,"LC03010102","EMBALAO PLASTICO AMARELO 75 l","TRUE","real_time",7411
7412,"LC03010103","EMBALAO PLASTICO AMARELO 120 l","TRUE","real_time",7412
7413,"LC03010104","EMBALAO PLASTICO AMARELO 240 l","TRUE","real_time",7413
7414,"LC03010105","EMBALAO PLASTICO AMARELO 1100 l","TRUE","real_time",7414
7415,"LC03010110","EMBALAO PLASTICO AMARELO 75 l","TRUE","real_time",7415
7416,"LC03010120","EMBALAO PLASTICO AMARELO 120 l","TRUE","real_time",7416
7417,"LC03010140","EMBALAO PLASTICO AMARELO 360 L","TRUE","real_time",7417
7418,"LC03010150","EMBALAO PLASTICO AMARELO 1100 l","TRUE","real_time",7418
7419,"LC04010101","VIDRAO PLASTICO VERDE 50 l","TRUE","real_time",7419
7420,"LC04010102","VIDRAO PLASTICO VERDE 120 l","TRUE","real_time",7420
7421,"LC04010103","VIDRAO PLASTICO VERDE 240 l","TRUE","real_time",7421
7422,"LC04010104","VIDRAO PLASTICO VERDE 1100 l","TRUE","real_time",7422
7423,"LC04010110","VIDRAO PLASTICO VERDE 120 l","TRUE","real_time",7423
7424,"LC04010120","VIDRAO PLASTICO VERDE 240 l","TRUE","real_time",7424
7425,"LC04010130","VIDRAO PLASTICO VERDE 360 L","TRUE","real_time",7425
7426,"LC04010140","VIDRAO PLASTICO VERDE 1100 l","TRUE","real_time",7426
7427,"LC05010050","PAPELEIRA","TRUE","real_time",7427
7428,"LC05010101","PAPELAO PLASTICO AZUL 50 l","TRUE","real_time",7428
7429,"LC05010102","PAPELAO PLASTICO AZUL 120 l","TRUE","real_time",7429
7430,"LC05010103","PAPELAO PLASTICO AZUL 1100 l","TRUE","real_time",7430
7431,"LC05010110","PAPELAO PLASTICO AZUL 120 l","TRUE","real_time",7431
7432,"LC05010120","PAPELAO PLASTICO AZUL 240 L","TRUE","real_time",7432
7433,"LC05010130","PAPELAO PLASTICO AZUL 360 L","TRUE","real_time",7433
7434,"LC05010140","PAPELAO PLASTICO AZUL 1100 l","TRUE","real_time",7434
7435,"LC06010101","CINZEIRO VIA PUBLICA CINZENTO","TRUE","real_time",7435
7436,"LC07010101","COMPOSTOR ORGANICO PLASTICO","TRUE","real_time",7436
7437,"LC08010101","CONTENTOR INCENERAVEL PRETO 60 l","TRUE","real_time",7437
7438,"LC08020101","CONTENTOR RESIDUO INDEFERENCIADO CIZENTO 120 l","TRUE","real_time",7438
7439,"LC08020102","CONTENTOR R IND CINZENTO 240L","TRUE","real_time",7439
7440,"LC08020103","CONTENTOR RESIDUO INDEFERENCIADO CINZENTO 800 l","TRUE","real_time",7440
7441,"LC08030101","CONTENTOR RESIDUO ORGANICO CASTANHO 120 l","TRUE","real_time",7441
7442,"LC08030102","CONTENTOR RESIDUO ORGANICO CASTANHO 240 l","TRUE","real_time",7442
7443,"LC08030103","CONTENTOR RESIDUO ORGANICO CASTANHO 50 l","TRUE","real_time",7443
7444,"LC08030104","CONTENTOR RESIDUO ORGANICO CASTANHO 800 l","TRUE","real_time",7444
7445,"LC08040101","CONTENTOR RESIDUO CONTAMINADOS PRETO 50 l","TRUE","real_time",7445
7446,"LC09010101","ECOPONTO METALICO 3X1 VERDE AZUL AMARELO 30 l","TRUE","real_time",7446
7447,"LC99000000","CONTENTORES DE LIXO","TRUE","real_time",7447
7448,"LO01010001","CAPACHO TAPETE 1.00 m x 0.50 m","TRUE","real_time",7448
7449,"LO02010101","ESFREGAO DE ALUMINIO 1Kg","TRUE","real_time",7449
7450,"LO02020101","ESFREGAO INOX","TRUE","real_time",7450
7451,"LO02030101","ESFREGAO VERDE","TRUE","real_time",7451
7452,"LO02040101","ESFREGAO VERDE COM ESPONJA","TRUE","real_time",7452
7453,"LO03010101","PANO AMARELO PO","TRUE","real_time",7453
7454,"LO03020101","PANO CAMURCA AUTO 54 cm x 44 cm","TRUE","real_time",7454
7455,"LO03030101","PANO CINZENTO CHAO GRANDE 1,90 m x 1,30 m","TRUE","real_time",7455
7456,"LO03030102","PANO CINZENTO CHAO PEQUENO 63 cm x 43 cm","TRUE","real_time",7456
7457,"LO03040101","PANO FLANELA CINZENTO 40 m x 70 cm","TRUE","real_time",7457
7458,"LO04010101","PAPEL DE MAOS ZIG ZAG","TRUE","real_time",7458
7459,"LO04020101","PAPEL GUARDANAPOS 33X33","TRUE","real_time",7459
7460,"LO04030101","PAPEL HIGIENICO GRANDE 300 m","TRUE","real_time",7460
7461,"LO04030201","PAPEL HIGIENICO JUMBO 420m","TRUE","real_time",7461
7462,"LO04030301","PAPEL HIGIENICO PEQUENO 18 m","TRUE","real_time",7462
7463,"LO04030401","PAPEL HIGIENICO JUMBO C/180m","TRUE","real_time",7463
7464,"LO04040101","PAPEL ROLO MAO 130 m x 0,22 m","TRUE","real_time",7464
7465,"LO04040201","PAPEL ROLO COZINHA MULTIUSOS","TRUE","real_time",7465
7466,"LO04050101","PAPEL TOALHA MAO KLEENEX","TRUE","real_time",7466
7467,"LO04060101","PAPEL TOALHA MESA","TRUE","real_time",7467
7468,"LO05010101","SACOS PLASTICO ROLO LIXO 100LT","TRUE","real_time",7468
7469,"LO05010102","SACOS PLASTICO ROLO LIXO 60LT","TRUE","real_time",7469
7470,"LO05010201","SACOS PLASTICO LIXO 110x70 CMF AMARELO","TRUE","real_time",7470
7471,"LO05010202","SACOS PLASTICO LIXO 110x70 CMF AZUIS","TRUE","real_time",7471
7472,"LO05010203","SACOS PLASTICO LIXO 110X70 CMF PRETO","TRUE","real_time",7472
7473,"LO05010204","SACOS PLASTICO LIXO 110X70 CMF VERDES","TRUE","real_time",7473
7474,"LO05010301","SACOS PLASTICO LIXO 80x60 CMF PRETO","TRUE","real_time",7474
7475,"LO05010401","SACOS PLASTICO S/ALCA 60X80","TRUE","real_time",7475
7476,"LO05010402","SACOS PLASTICO S/ALCA 55X60","TRUE","real_time",7476
7477,"LO06010101","TOALHA PANO LOICA","TRUE","real_time",7477
7478,"LO06010201","TOALHA PANO TURCO MAOS COR 50X50","TRUE","real_time",7478
7479,"LO07010101","TOALHITAS DESINFECTANTES HUMIDAS","TRUE","real_time",7479
7480,"LO99000000","CONSUMIVEL DE LIMPEZA","TRUE","real_time",7480
7481,"LP01010101","ALGICIDA 65LT","TRUE","real_time",7481
7482,"LP02010101","ABRILHANTADOR LIQUIDO PNEUS 25 l","TRUE","real_time",7482
7483,"LP03010101","AMACIADOR LIQUIDO ROUPA MAQUINA 65 l","TRUE","real_time",7483
7484,"LP03010102","AMACIADOR LIQUIDO ROUPA MAQUINA 20 kg","TRUE","real_time",7484
7485,"LP03010103","AMACIADOR LIQUIDO ROUPA MAQUINA 30 l","TRUE","real_time",7485
7486,"LP03010201","AMACIADOR LIQ ROUPA MAQUINA C/NEUTRALIZADOR 30 l","TRUE","real_time",7486
7487,"LP04010101","ANTIOXIDANTE LIQUIDO PARA METAIS 5 kg","TRUE","real_time",7487
7488,"LP05010101","BRANQUEADOR LIQUIDO ROUPA BRANCA MAQUINA 30 l","TRUE","real_time",7488
7489,"LP05010102","BRANQUEADOR LIQUIDO ROUPA BRANCA MAQUIMA 65 l","TRUE","real_time",7489
7490,"LP05010201","BRANQUEADOR LIQUIDO ROUPA COR MAQUINA 20 l","TRUE","real_time",7490
7491,"LP06010101","DESENGORDURANTE LIQUIDO LIMPEZA MOTORES 65 l","TRUE","real_time",7491
7492,"LP06010201","DESENGORDURANTE LIQ LIMPEZA PECAS DE MOTORES 65 l","TRUE","real_time",7492
7493,"LP06010301","DESENGORDURANTE LIQ PAVIMENTOS MULTIUSOS 5 OU 65 l","TRUE","real_time",7493
7494,"LP06010401","DESENGURDURANTE LIQUIDO PAVIMENTO PVC 65 l","TRUE","real_time",7494
7495,"LP07010101","DESINFETANTE LIQUIDO AMBULANCIAS 65 l","TRUE","real_time",7495
7496,"LP08010101","DETERGENTE LIQUIDO ROUPA MAQUINA 30 l","TRUE","real_time",7496
7497,"LP08010102","DETERGENTE LIQUIDO ROUPA MAQUINA 65 l","TRUE","real_time",7497
7498,"LP08010201","DETERGENTE LIQUIDO ROUPA MAQUINA ALCALINO 28 kg","TRUE","real_time",7498
7499,"LP08010301","DETERGENTE LIQUIDO ROUPA MAQUINA NEUTRO 20 l","TRUE","real_time",7499
7500,"LP09010101","DISSOLVENTE ALCATRAO LIQUIDO MULTIUSOS 25 l","TRUE","real_time",7500
7501,"LP10010101","INSECTICIDA EMULSION CONCENTRADO 65 l","TRUE","real_time",7501
7502,"LP11010101","LIMPADOR LIQUIDO ALUMINIO E ACO 65 l","TRUE","real_time",7502
7503,"LP12010101","NEUTRALIZANTE LIQUIDO ROUPA MAQUINA 20 kg","TRUE","real_time",7503
7504,"LP13010101","RATICIDA CUBO 10 kg","TRUE","real_time",7504
7505,"LP13010102","RATICIDA PASTA EMB 10KG","TRUE","real_time",7505
7506,"LP14010101","SABAO GEL MAOS MECANICOS 5kg","TRUE","real_time",7506
7507,"LP15010101","SHAMPOO LIQUIDO AUTO CARROCARIA 65 l","TRUE","real_time",7507
7508,"LP16010101","CERA PARA PAVIMENTO PVC 65 l","TRUE","real_time",7508
7509,"LP17010101","TIRA NODOAS LIQUIDO ROUPA MAQUINA 30 l","TRUE","real_time",7509
7510,"LP18010101","HERBICIDA 1 l","TRUE","real_time",7510
7511,"LP18020101","HERBICIDA INDUSTRIAL 200 l","TRUE","real_time",7511
7512,"LP19010101","AMBIENTADOR DO AR 300 ml","TRUE","real_time",7512
7513,"LP20010101","CERA MADEIRA LIQUIDA AUTO BRILHANTE CASTANHA 5 l","TRUE","real_time",7513
7514,"LP20010201","CERA MADEIRA LIQUIDA AUTO BRILHANTE INCOLOR 5 l","TRUE","real_time",7514
7515,"LP20020301","CERA TEJOLEIRA LIQUIDA AUTO BRILHANTE VERMELHA 5 l","TRUE","real_time",7515
7516,"LP21010101","CREME LIMPEZA 5 kg","TRUE","real_time",7516
7517,"LP21010102","CREME LIMPEZA 500ML","TRUE","real_time",7517
7518,"LP21010103","CREME LIMPEZA 750ML","TRUE","real_time",7518
7519,"LP22010101","CREOLINA","TRUE","real_time",7519
7520,"LP23010101","DESENTUPIDOR LIQUIDO 1 l","TRUE","real_time",7520
7521,"LP24010101","DESINFETANTE ABRASIVO PO 500 gr","TRUE","real_time",7521
7522,"LP25010101","DESINFETANTE LIQ RAPIDO SAFE PLUS PULVERIZADOR 1l","TRUE","real_time",7522
7523,"LP25010202","DESINFETANTE LIQUIDO RAPIDO SAFE PLUS 5 l","TRUE","real_time",7523
7524,"LP25010203","DESINFETANTE BATERICIDA BIODEGRADAVEL L","TRUE","real_time",7524
7525,"LP26010101","DESODORIZANTE BLOCO SANITA COM SUPORTE","TRUE","real_time",7525
7526,"LP28010101","DETERGENTE DESINFECTANTE MULTI USO AROMA INTENSO5l","TRUE","real_time",7526
7527,"LP28010201","DETERGENTE DESINFECTANTE MULTI USO AROMA SUAVE 5 l","TRUE","real_time",7527
7528,"LP28020301","DETERGENTE LIQUIDO LAVA TUDO PERFUMADO 750 ml","TRUE","real_time",7528
7529,"LP28020302","DETERGENTE LIQUIDO LAVA TUDO PERFUMADO 1 l","TRUE","real_time",7529
7530,"LP28020303","DETERGENTE LIQUIDO LAVA TUDO PERFUMADO 1,5 l","TRUE","real_time",7530
7531,"LP29010101","DETERGENTE LIQUIDO LIMPEZA CARPETES 1LT","TRUE","real_time",7531
7532,"LP29010102","POMADA PARA SAPATOS","TRUE","real_time",7532
7533,"LP30010101","GEL ALCOOL ANTI CEPTICO COM DOSEADOR","TRUE","real_time",7533
7534,"LP30010102","GEL ALCOOL ANTI SEPTICO 5L","TRUE","real_time",7534
7535,"LP31010101","GEL SANITARIO 750 ML","TRUE","real_time",7535
7536,"LP32010101","LIMPA MOVEIS 300 ml","TRUE","real_time",7536
7537,"LP32010201","LIMPA MOVEIS OLEO CEDRO 400 ml","TRUE","real_time",7537
7538,"LP33010101","INSECTICIDA INSECTO VOADOR 400ml","TRUE","real_time",7538
7539,"LP33010201","INSECTICIDA INSECTO RASTEJANTE 400ml","TRUE","real_time",7539
7540,"LP34010101","LIMPA METAL LIQUIDO 150ml","TRUE","real_time",7540
7541,"LP35010101","LIMPA VIDROS 750 ml","TRUE","real_time",7541
7542,"LP36010101","LIXIVIA","TRUE","real_time",7542
7543,"LP37010101","SABAO BARRA AZUL 1,5kg","TRUE","real_time",7543
7544,"LP38010101","DETERGENTE LIQUIDO LOICA 10 l","TRUE","real_time",7544
7545,"LP38010102","DETERGENTE LIQUIDO LOICA 750 ml","TRUE","real_time",7545
7546,"LP38010105","SABAO LIQ LOICA LAVABEM 5L LIMAO","TRUE","real_time",7546
7547,"LP39010101","DETERGENTE PO MAQUINA 4 kg","TRUE","real_time",7547
7548,"LP39010201","DETERGENTE PO MANUAL 600 grm","TRUE","real_time",7548
7549,"LP40010101","SABONETE MAOS LIQUIDO 5 l","TRUE","real_time",7549
7550,"LP40010202","SABONETE MAOS SOLIDO 125 grm","TRUE","real_time",7550
7551,"LP99000000","PRODUTOS DE LIMPEZA","TRUE","real_time",7551
7552,"LU01010001","BALDE ZINCO","TRUE","real_time",7552
7553,"LU01020101","BALDE PLASTICO COM TAMPA 15 l","TRUE","real_time",7553
7554,"LU01020201","BALDE PLASTICO COM TAMPA BALANCO","TRUE","real_time",7554
7555,"LU01020301","BALDE PLASTICO ESFREGONA COM BICO","TRUE","real_time",7555
7556,"LU01020401","BALDE PLASTICO PRETO 10 l","TRUE","real_time",7556
7557,"LU01020402","BALDE PLASTICO PRETO 15 l","TRUE","real_time",7557
7558,"LU01020403","BALDE PLASTICO PRETO 50 l","TRUE","real_time",7558
7559,"LU01020501","BALDE PLASTICO WC COM PEDAL 10 l","TRUE","real_time",7559
7560,"LU01020502","BALDE PLASTICO WC COM PEDAL 17 l","TRUE","real_time",7560
7561,"LU02010101","CESTO DE VIME PARA PAPEIS","TRUE","real_time",7561
7562,"LU02020101","CESTO PLASTICO REDE PARA PAPEIS","TRUE","real_time",7562
7563,"LU03010101","DESENTUPIDOR BORRACHA","TRUE","real_time",7563
7564,"LU04010101","ECO-TENAZ","TRUE","real_time",7564
7565,"LU04010102","RATOEIRA","TRUE","real_time",7565
7566,"LU05010101","ESCOVA DE MAO TIPO LAVADEIRA","TRUE","real_time",7566
7567,"LU06010101","ESFREGONA GRANDE","TRUE","real_time",7567
7568,"LU07010101","ESPONJA LAVAR VIDROS","TRUE","real_time",7568
7569,"LU08010101","PA PLASTICO CABO COMPRIDO","TRUE","real_time",7569
7570,"LU08010102","PA PLASTICO CABO CURTO","TRUE","real_time",7570
7571,"LU09010101","REDE LIMPEZA PISCINAS","TRUE","real_time",7571
7572,"LU10010101","REGADOR DE PLASTICO 12LT","TRUE","real_time",7572
7573,"LU11010101","RODO DE BORRACHA","TRUE","real_time",7573
7574,"LU12010101","VASSOURA ESPANADOR CABO COMPRIDO","TRUE","real_time",7574
7575,"LU12010102","VASSOURA ESPANADOR CABO CURTO","TRUE","real_time",7575
7576,"LU12020101","VASSOURA NYLON ESPALMADA ESPONTADA","TRUE","real_time",7576
7577,"LU12020102","VASSOURA NYLON ESPALMADA RIJA","TRUE","real_time",7577
7578,"LU12020201","VASSOURA NYLON WC SEM SUPORTE","TRUE","real_time",7578
7579,"LU12020202","VASSOURA NYLON WC COM SUPORTE","TRUE","real_time",7579
7580,"LU12030101","VASSOURA PVC GRANDE","TRUE","real_time",7580
7581,"LU12030150","CABOS DE VASSOURA","TRUE","real_time",7581
7582,"LU99000000","UTENSILIOS DE LIMPEZA","TRUE","real_time",7582
7583,"MP01010001","CASSETE ASSOCIACAO CULTURAL","TRUE","real_time",7583
7584,"MP01020001","CD MUSICA","TRUE","real_time",7584
7585,"MP01020002","CD ROM ROTAS DE AVENTURAS 500 ANOS","TRUE","real_time",7585
7586,"MP01020003","CD 400 ANOS OPERA (DN)","TRUE","real_time",7586
7587,"MP01020004","CD MOZART VARIOS (DN)","TRUE","real_time",7587
7588,"MP01020005","CD 31 COLECAO MOZART (DN)","TRUE","real_time",7588
7589,"MP01030001","DVD REVOLTA DA MADEIRA","TRUE","real_time",7589
7590,"MP01030002","DVD PORTOS 500 ANOS","TRUE","real_time",7590
7591,"MP01030003","DVD O TEMPO ESCRITO NAS ROCHAS 500 ANOS","TRUE","real_time",7591
7592,"MP01030004","DVD ARTE FLAMENGA E MADEIRA ROTAS ORIENTE 500 ANOS","TRUE","real_time",7592
7593,"MP01030005","DVD AEROPORTO MADEIRA 500 ANOS","TRUE","real_time",7593
7594,"MP01030006","10 DVDS COLECAO (DN)","TRUE","real_time",7594
7595,"MP01030007","DVD FILME VARIOS (DN)","TRUE","real_time",7595
7596,"MP01030008","DVD CANCOES NAPOLITANAS","TRUE","real_time",7596
7597,"MP02010001","MEDALHA OURO ASSIDUIDADE C/FITA AO PESCOCO","TRUE","real_time",7597
7598,"MP02010002","MEDALHA OURO C/FITA AO PESCOCO","TRUE","real_time",7598
7599,"MP02020001","MEDALHA PRATA ASSIDUIDADE C/FITA AO PESCOCO","TRUE","real_time",7599
7600,"MP02020002","MEDALHA PRATA C/FITA AO PESCOCO","TRUE","real_time",7600
7601,"MP02030001","MEDALHA BRONZE ASSIDUIDADE C/FITA AO PESCOCO","TRUE","real_time",7601
7602,"MP02030002","MEDALHA BRONZE C/FITA AO PESCOCO","TRUE","real_time",7602
7603,"MP02030003","MEDALHA BRONZE C/FITA AO PEITO","TRUE","real_time",7603
7604,"MP02030004","MEDALHA BRONZE PARTICIPACAO C/BRAZAO","TRUE","real_time",7604
7605,"MP02030005","MEDALHA BRONZE PARTICIPACAO C/LOGOTIPO","TRUE","real_time",7605
7606,"MP02030006","MEDALHA BRONZE 21 DE AGOSTO 80MM C/LOGOTIPO","TRUE","real_time",7606
