id,list_price,uom_id/id,cost_method,categ_id/id,name,sale_ok,company_id/id,uom_po_id,type,supply_method,procure_method,purchase_ok,standard_price
43,1.00,1,standard,1,Nº 12 Art 9º Tabela Geral-Utiliza. Auto-Varredora,TRUE,1,1,product,produce,make_to_stock,FALSE,1
44,1.00,1,standard,1,a) Nº13 Art.9ºTabela Geral - Remoção Lixo a pedido,TRUE,1,1,product,produce,make_to_stock,FALSE,1
45,1.00,1,standard,1,b) Nº13 Art.9ºTabela Geral - Remoção Lixo a pedido,TRUE,1,1,product,produce,make_to_stock,FALSE,1
46,1.00,1,standard,1,c) Nº13 Art.9ºTabela Geral - Remoção Lixo a pedido,TRUE,1,1,product,produce,make_to_stock,FALSE,1
47,1.00,1,standard,1,c) Nº13 Art.9ºTabela Geral - Remoção Lixo a pedido,TRUE,1,1,product,produce,make_to_stock,FALSE,1
48,1.00,1,standard,1,Nº14 Art.9ºTabela Geral - Remoção viaturas,TRUE,1,1,product,produce,make_to_stock,FALSE,1
49,1.00,1,standard,1,Nº15 Art.9ºTabela Geral - Pesagem na Báscula,TRUE,1,1,product,produce,make_to_stock,FALSE,1
50,1.00,1,standard,1,Art. 9º Tabela Geral-Ligação domiciliaria esgoto,TRUE,1,1,product,produce,make_to_stock,FALSE,1
51,1.00,1,standard,1,Art. 8º Tabela Geral - Ligação colectores,TRUE,1,1,product,produce,make_to_stock,FALSE,1
52,1.00,1,standard,1,Art. 8º Tabela Geral - Ligação colectores,TRUE,1,1,product,produce,make_to_stock,FALSE,1
53,1.00,1,standard,1,Art. 8º Tabela Geral - Ligação colectores,TRUE,1,1,product,produce,make_to_stock,FALSE,1
54,1.00,1,standard,1,Art 10º Tabela Geral - Tar.Conserv.Utiliz.Esg.Empr,TRUE,1,1,product,produce,make_to_stock,FALSE,1
55,1.00,1,standard,1,Art 10º Tabela Geral-Tar.Conserv.Utiliz.Esg.Partic,TRUE,1,1,product,produce,make_to_stock,FALSE,1
56,1.00,1,standard,1,Nº 5 Art. 10º Tabela Geral -Limpeza fossa/colector,TRUE,1,1,product,produce,make_to_stock,FALSE,1
57,1.00,1,standard,1,Nº 6 Art. 10º Tabela Geral -Descarga de água-ETAR,TRUE,1,1,product,produce,make_to_stock,FALSE,1
58,1.00,1,standard,1,Nº1 Art 11º Tabela Geral-Inumação em Covais,TRUE,1,1,product,produce,make_to_stock,FALSE,1
59,1.00,1,standard,1,Nº1 Art 11º Tabela Geral-Inuma,TRUE,1,1,product,produce,make_to_stock,FALSE,1
60,1.00,1,standard,1,Nº1 Art 11º Tabela Geral-Inuma,TRUE,1,1,product,produce,make_to_stock,FALSE,1
61,1.00,1,standard,1,Nº1 Art 11º Tabela Geral-Inuma,TRUE,1,1,product,produce,make_to_stock,FALSE,1
62,1.00,1,standard,1,a) N 2 Art 11º Tabela-Inumação Corpos em capela,TRUE,1,1,product,produce,make_to_stock,FALSE,1
63,1.00,1,standard,1,nº2 art.11º Tabela-Inumação jazigos,TRUE,1,1,product,produce,make_to_stock,FALSE,1
64,1.00,1,standard,1,nº2 art.11º Tabela-Inumação jazigos,TRUE,1,1,product,produce,make_to_stock,FALSE,1
65,1.00,1,standard,1,nº2 art.11º Tabela-Inumação jazigos,TRUE,1,1,product,produce,make_to_stock,FALSE,1
66,1.00,1,standard,1,b) nº2 art.11º Tabela Geral-Inumação jazigos,TRUE,1,1,product,produce,make_to_stock,FALSE,1
67,1.00,1,standard,1,Nº 2 Art 11º Tabela Geral-Inumação jazigo particul,TRUE,1,1,product,produce,make_to_stock,FALSE,1
68,1.00,1,standard,1,Nº 2 Art 11º Tabela Geral-Inumação jazigo particul,TRUE,1,1,product,produce,make_to_stock,FALSE,1
69,1.00,1,standard,1,Nº 2 Art 11º Tabela Geral-Inumação jazigo particul,TRUE,1,1,product,produce,make_to_stock,FALSE,1
70,1.00,1,standard,1,Nº 2 Art 11º Tabela Geral-Inumação jazigo particul,TRUE,1,1,product,produce,make_to_stock,FALSE,1
71,1.00,1,standard,1,d) Nº 2 Art 11º Tabela Geral-Inumação jazigos,TRUE,1,1,product,produce,make_to_stock,FALSE,1
72,1.00,1,standard,1,Nº 3 Art 11ºTabela Geral-Inumação jazigo municipal,TRUE,1,1,product,produce,make_to_stock,FALSE,1
73,1.00,1,standard,1,Nº 3 Art 11ºTabela Geral-Inumação jazigo municipal,TRUE,1,1,product,produce,make_to_stock,FALSE,1
74,1.00,1,standard,1,Nº 3 Art 11ºTabela Geral-Inumação jazigo municipal,TRUE,1,1,product,produce,make_to_stock,FALSE,1
75,1.00,1,standard,1,Nº 3 Art 11ºTabela Geral-Inumação jazigo municipal,TRUE,1,1,product,produce,make_to_stock,FALSE,1
76,1.00,1,standard,1,Nº 3 Art 11ºTabela Geral-Inumação jazigo municipal,TRUE,1,1,product,produce,make_to_stock,FALSE,1
77,1.00,1,standard,1,Nº 3 Art 11ºTabela Geral-Inumação jazigo municipal,TRUE,1,1,product,produce,make_to_stock,FALSE,1
78,1.00,1,standard,1,Nº 3 Art 11ºTabela Geral-Inumação jazigo municipal,TRUE,1,1,product,produce,make_to_stock,FALSE,1
79,1.00,1,standard,1,Nº 3 Art 11ºTabela Geral-Inumação jazigo municipal,TRUE,1,1,product,produce,make_to_stock,FALSE,1
80,1.00,1,standard,1,Art. 12º Tabela Geral- Ocupação de ossários,TRUE,1,1,product,produce,make_to_stock,FALSE,1
81,1.00,1,standard,1,Art. 12º Tabela Geral- Ocupação de ossários,TRUE,1,1,product,produce,make_to_stock,FALSE,1
82,1.00,1,standard,1,Art. 12º Tabela Geral- Ocupação de ossários,TRUE,1,1,product,produce,make_to_stock,FALSE,1
83,1.00,1,standard,1,Art. 12º Tabela Geral- Ocupação de ossários,TRUE,1,1,product,produce,make_to_stock,FALSE,1
84,1.00,1,standard,1,nº2 Art. 12º Tabela Geral- Ossada 2º ano,TRUE,1,1,product,produce,make_to_stock,FALSE,1
85,1.00,1,standard,1,Art. 12º Tabela Geral- Ocupação de ossários,TRUE,1,1,product,produce,make_to_stock,FALSE,1
86,1.00,1,standard,1,Art. 12º Tabela Geral- Ocupação de ossários,TRUE,1,1,product,produce,make_to_stock,FALSE,1
87,1.00,1,standard,1,Art. 12º Tabela Geral- Ocupação de ossários,TRUE,1,1,product,produce,make_to_stock,FALSE,1
88,1.00,1,standard,1,Art. 12º Tabela Geral- Ocupação de ossários,TRUE,1,1,product,produce,make_to_stock,FALSE,1
89,1.00,1,standard,1,nº1 Art. 13º Tabela Geral- Exumação p/ossada,TRUE,1,1,product,produce,make_to_stock,FALSE,1
90,1.00,1,standard,1,Art. 13º Tabela Geral- Exumação p/ossada,TRUE,1,1,product,produce,make_to_stock,FALSE,1
91,1.00,1,standard,1,Art. 13º Tabela Geral- Exumação p/ossada,TRUE,1,1,product,produce,make_to_stock,FALSE,1
92,1.00,1,standard,1,Art. 13º Tabela Geral- Exumação p/ossada,TRUE,1,1,product,produce,make_to_stock,FALSE,1
93,1.00,1,standard,1,nº2 Art. 13º Tabela Geral- Exumação p/ossada,TRUE,1,1,product,produce,make_to_stock,FALSE,1
94,1.00,1,standard,1,Art. 14º Tabela Geral- Concessão terreno p/jazigo,TRUE,1,1,product,produce,make_to_stock,FALSE,1
95,1.00,1,standard,1,Art. 14º Tabela Geral- Concessão terreno p/jazigo,TRUE,1,1,product,produce,make_to_stock,FALSE,1
96,1.00,1,standard,1,Art. 14º Tabela Geral- Concessão terreno p/jazigo,TRUE,1,1,product,produce,make_to_stock,FALSE,1
97,1.00,1,standard,1,Art. 14º Tabela Geral- Concessão terreno p/jazigo,TRUE,1,1,product,produce,make_to_stock,FALSE,1
98,1.00,1,standard,1,Nº1 Art. 15º Tabela Geral - Utilização Capela,TRUE,1,1,product,produce,make_to_stock,FALSE,1
99,1.00,1,standard,1,Nº1 Art. 15º Tabela Geral - Utilização Capela,TRUE,1,1,product,produce,make_to_stock,FALSE,1
100,1.00,1,standard,1,Nº1 Art. 15º Tabela Geral - Utilização Capela,TRUE,1,1,product,produce,make_to_stock,FALSE,1
101,1.00,1,standard,1,Nº1 Art. 15º Tabela Geral - Utilização Capela,TRUE,1,1,product,produce,make_to_stock,FALSE,1
102,1.00,1,standard,1,Nº2 Art. 15º Tabela Geral - Utilização Capela,TRUE,1,1,product,produce,make_to_stock,FALSE,1
103,1.00,1,standard,1,Nº2 Art. 15º Tabela Geral - Utilização Capela,TRUE,1,1,product,produce,make_to_stock,FALSE,1
104,1.00,1,standard,1,Nº2 Art. 15º Tabela Geral - Utilização Capela,TRUE,1,1,product,produce,make_to_stock,FALSE,1
105,1.00,1,standard,1,Nº2 Art. 15º Tabela Geral - Utilização Capela,TRUE,1,1,product,produce,make_to_stock,FALSE,1
106,1.00,1,standard,1,Art 16º Tabela Geral - Averbamento transmissão,TRUE,1,1,product,produce,make_to_stock,FALSE,1
107,1.00,1,standard,1,Art 16º Tabela Geral - Averbamento transmissão,TRUE,1,1,product,produce,make_to_stock,FALSE,1
108,1.00,1,standard,1,Art 16º Tabela Geral - Averbamento transmissão,TRUE,1,1,product,produce,make_to_stock,FALSE,1
109,1.00,1,standard,1,Art 16º Tabela Geral - Averbamento transmissão,TRUE,1,1,product,produce,make_to_stock,FALSE,1
110,1.00,1,standard,1,a) Art 17º Tabela Geral -Campas rasas e gavetões,TRUE,1,1,product,produce,make_to_stock,FALSE,1
111,1.00,1,standard,1,Art 17º Tabela Geral - Tratamento sepulturas/sinai,TRUE,1,1,product,produce,make_to_stock,FALSE,1
112,1.00,1,standard,1,Art 17º Tabela Geral-Tratamento sepulturas/sinais,TRUE,1,1,product,produce,make_to_stock,FALSE,1
113,1.00,1,standard,1,Art 17º Tabela Geral -Tratamento sepulturas/sinais,TRUE,1,1,product,produce,make_to_stock,FALSE,1
114,1.00,1,standard,1,Art 17º Tabela Geral -Tratamento sepulturas/sinais,TRUE,1,1,product,produce,make_to_stock,FALSE,1
115,1.00,1,standard,1,b) Art 17º Tabela Geral -Capela e até 6 gavetas,TRUE,1,1,product,produce,make_to_stock,FALSE,1
116,1.00,1,standard,1,c) Art 17º Tabela Geral -Capela e mais de 6 gaveta,TRUE,1,1,product,produce,make_to_stock,FALSE,1
117,1.00,1,standard,1,d) Art 17º Tabela Geral - com grades,TRUE,1,1,product,produce,make_to_stock,FALSE,1
118,1.00,1,standard,1,e) Art 17º Tabela Geral -Ornamentação,TRUE,1,1,product,produce,make_to_stock,FALSE,1
119,1.00,1,standard,1,Nº 1 Art 18º Tabela Geral - Transladação,TRUE,1,1,product,produce,make_to_stock,FALSE,1
120,1.00,1,standard,1,Nº 1 Art 18º Tabela Geral - Transladação,TRUE,1,1,product,produce,make_to_stock,FALSE,1
121,1.00,1,standard,1,Nº 1 Art 18º Tabela Geral - Transladação,TRUE,1,1,product,produce,make_to_stock,FALSE,1
122,1.00,1,standard,1,Nº 1 Art 18º Tabela Geral - Transladação,TRUE,1,1,product,produce,make_to_stock,FALSE,1
123,1.00,1,standard,1,Nº 2 Art 18ºTabela Geral-Abertura cemitério fora h,TRUE,1,1,product,produce,make_to_stock,FALSE,1
124,1.00,1,standard,1,Nº 2 Art 18ºTabela Geral-Abertura cemitério fora h,TRUE,1,1,product,produce,make_to_stock,FALSE,1
125,1.00,1,standard,1,Nº 2 Art 18ºTabela Geral-Abertura cemitério fora h,TRUE,1,1,product,produce,make_to_stock,FALSE,1
126,1.00,1,standard,1,Nº 2 Art 18ºTabela Geral-Abertura cemitério fora h,TRUE,1,1,product,produce,make_to_stock,FALSE,1
127,1.00,1,standard,1,Nº 1 Art 19º Tabela Geral - Estaciona/to viaturas,TRUE,1,1,product,produce,make_to_stock,FALSE,1
